Pipe ID,MATERIAL,DESCRIPTION,YEAR_INSTALLED,WORK_ORDER_NUMBER,ReportDate,StartDateT,CompletedD,Work Order Year,Request Type,FAILURE,Pipe AGE
P2654,DIP,Transmission,1998,1815848,5/7/2017,5/9/2017,5/9/2017,2017,Check For Leak/Break,1,21
P2657,DIP,Transmission,1998,1815848,5/7/2017,5/9/2017,5/9/2017,2017,Check For Leak/Break,1,21
P90960,DIP,Distribution,2005,1697548,3/13/2017,3/14/2017,3/14/2017,2017,Check For Leak/Break,1,14
P90889,DIP,Distribution,2005,1691731,3/9/2017,3/9/2017,3/9/2017,2017,Check For Leak/Break,1,14
P103704,DIP,Distribution,2007,1688909,3/7/2017,3/8/2017,3/8/2017,2017,Check For Leak/Break,1,12
P103712,DIP,Distribution,2006,1678128,2/28/2017,3/1/2017,3/1/2017,2017,Check For Leak/Break,1,13
P45540,DIP,Distribution,1926,1621549,1/13/2017,1/13/2017,1/13/2017,2017,Check For Leak/Break,1,93
P72169,DIP,Distribution,1936,1618928,1/12/2017,2/24/2017,2/24/2017,2017,Check For Leak/Break,1,83
P41503,DIP,Transmission,1925,1359346,11/24/2015,11/30/2015,11/30/2015,2015,Check For Leak/Break,1,94
P2654,DIP,Transmission,1998,1344118,10/26/2015,10/26/2015,10/26/2015,2015,Check For Leak/Break,1,21
P58397,DIP,Distribution,2007,1328819,9/26/2015,9/26/2015,9/26/2015,2015,Check For Leak/Break,1,12
P58398,DIP,Distribution,2007,1328819,9/26/2015,9/26/2015,9/26/2015,2015,Check For Leak/Break,1,12
P78876,DIP,Distribution,1997,1301301,8/3/2015,8/3/2015,8/3/2015,2015,Check For Leak/Break,1,22
P19024,DIP,Distribution,1950,1254988,5/23/2015,5/25/2015,5/25/2015,2015,Check For Leak/Break,1,69
P52094,DIP,Distribution,2008,1242248,5/2/2015,,,2015,Check For Leak/Break,1,11
P2449,DIP,Transmission,1998,1228448,4/12/2015,4/13/2015,4/13/2015,2015,Check For Leak/Break,1,21
P58087,DIP,Transmission,1948,1199331,3/2/2015,3/2/2015,3/2/2015,2015,Check For Leak/Break,1,71
P58087,DIP,Transmission,1948,1199253,2/28/2015,2/28/2015,2/28/2015,2015,Check For Leak/Break,1,71
P58087,DIP,Transmission,1948,1197119,2/23/2015,2/25/2015,2/25/2015,2015,Check For Leak/Break,1,71
P44424,DIP,Distribution,1922,1172899,1/10/2015,1/10/2015,1/10/2015,2015,Check For Leak/Break,1,97
P45516,DIP,Distribution,1915,1169329,1/3/2015,1/3/2015,1/3/2015,2015,Check For Leak/Break,1,104
P84153,DIP,Distribution,2002,1166614,12/27/2014,4/19/2015,4/19/2015,2014,Check For Leak/Break,1,17
P84153,DIP,Distribution,2002,1166609,12/26/2014,12/26/2014,12/26/2014,2014,Check For Leak/Break,1,17
P6007,DIP,Transmission,1909,1164820,12/19/2014,12/22/2014,12/22/2014,2014,Check For Leak/Break,1,110
P28088,DIP,Transmission,2003,1156422,11/25/2014,11/25/2014,11/25/2014,2014,Check For Leak/Break,1,16
P53682,DIP,Distribution,2005,1155649,11/24/2014,11/24/2014,11/24/2014,2014,Check For Leak/Break,1,14
P57988,DIP,Transmission,1948,1153377,11/15/2014,11/22/2014,11/22/2014,2014,Check For Leak/Break,1,71
P94199,DIP,Distribution,2005,1151027,11/6/2014,3/11/2015,3/11/2015,2014,Check For Leak/Break,1,14
P1129519,DIP,Distribution,2007,1110395,8/25/2014,9/25/2014,9/25/2014,2014,Check For Leak/Break,1,12
P72976,DIP,Distribution,2007,1110395,8/25/2014,9/25/2014,9/25/2014,2014,Check For Leak/Break,1,12
P72978,DIP,Distribution,2007,1110395,8/25/2014,9/25/2014,9/25/2014,2014,Check For Leak/Break,1,12
P72979,DIP,Distribution,2007,1110395,8/25/2014,9/25/2014,9/25/2014,2014,Check For Leak/Break,1,12
P50738,HDPE,Distribution,1925,1384474,1/16/2016,4/28/2016,4/28/2016,2016,Check For Leak/Break,1,94
P50738,HDPE,Distribution,1925,1371628,12/14/2015,12/17/2015,12/17/2015,2015,Check For Leak/Break,1,94
P55625,L.J.,Distribution,1948,1596568,12/17/2016,,,2016,Check For Leak/Break,1,71
P34026,L.J.,Distribution,1901,1596329,12/16/2016,12/28/2016,12/28/2016,2016,Check For Leak/Break,1,118
P7593,L.J.,Distribution,1980,1589168,12/8/2016,12/8/2016,12/8/2016,2016,Check For Leak/Break,1,39
P31661,L.J.,Distribution,2012,1575928,11/22/2016,11/23/2016,11/23/2016,2016,Check For Leak/Break,1,7
P31699,L.J.,Distribution,2012,1575928,11/22/2016,11/23/2016,11/23/2016,2016,Check For Leak/Break,1,7
P12441,L.J.,Distribution,1927,1575108,11/21/2016,11/22/2016,11/22/2016,2016,Check For Leak/Break,1,92
P46238,L.J.,Distribution,1948,1574392,11/21/2016,11/21/2016,11/21/2016,2016,Check For Leak/Break,1,71
P80258,L.J.,Distribution,1951,1568529,11/13/2016,,,2016,Check For Leak/Break,1,68
P80167,L.J.,Distribution,1926,1568328,11/12/2016,,,2016,Check For Leak/Break,1,93
P58930,L.J.,Distribution,1914,1568168,11/11/2016,,,2016,Check For Leak/Break,1,105
P59037,L.J.,Distribution,1914,1568168,11/11/2016,,,2016,Check For Leak/Break,1,105
P34719,L.J.,Distribution,1904,1550135,10/19/2016,,,2016,Check For Leak/Break,1,115
P12552,L.J.,Distribution,1927,1547148,10/14/2016,10/15/2016,10/15/2016,2016,Check For Leak/Break,1,92
P80166,L.J.,Distribution,1926,1530148,9/24/2016,,,2016,Check For Leak/Break,1,93
P111697,L.J.,Distribution,1927,1528968,9/22/2016,9/23/2016,9/23/2016,2016,Check For Leak/Break,1,92
P13940,L.J.,Distribution,1891,1520486,9/7/2016,,,2016,Check For Leak/Break,1,128
P32049,L.J.,Distribution,1911,1441468,5/14/2016,5/15/2016,5/15/2016,2016,Check For Leak/Break,1,108
P63966,L.J.,Distribution,2012,1398635,2/24/2016,2/24/2016,2/24/2016,2016,Check For Leak/Break,1,7
P64097,L.J.,Distribution,2012,1396702,2/22/2016,2/22/2016,2/22/2016,2016,Check For Leak/Break,1,7
P47386,L.J.,Distribution,2012,1387144,1/27/2016,1/27/2016,1/27/2016,2016,Check For Leak/Break,1,7
P47389,L.J.,Distribution,2012,1387144,1/27/2016,1/27/2016,1/27/2016,2016,Check For Leak/Break,1,7
P47390,L.J.,Distribution,2012,1387144,1/27/2016,1/27/2016,1/27/2016,2016,Check For Leak/Break,1,7
P60389,L.J.,Distribution,1922,1384490,1/17/2016,1/17/2016,1/18/2016,2016,Check For Leak/Break,1,97
P80167,L.J.,Distribution,1926,778940,6/26/2014,6/26/2014,6/26/2014,2014,Check For Leak/Break,1,93
P33033,L.J.,Distribution,1907,758219,4/24/2014,4/24/2014,4/25/2014,2014,Check For Leak/Break,1,112
P12945,L.J.,Distribution,1948,756260,4/17/2014,6/5/2014,6/5/2014,2014,Check For Leak/Break,1,71
P50478,L.J.,Distribution,1949,751756,4/8/2014,3/29/2015,3/29/2015,2014,Check For Leak/Break,1,70
P79800,L.J.,Distribution,1926,732924,2/6/2014,3/28/2015,3/28/2015,2014,Check For Leak/Break,1,93
P73456,L.J.,Distribution,1912,731645,2/2/2014,2/2/2014,2/2/2014,2014,Check For Leak/Break,1,107
P8269,L.J.,Distribution,1908,730385,1/28/2014,2/9/2014,1/28/2014,2014,Check For Leak/Break,1,111
P106850,L.J.,Distribution,1952,729008,1/26/2014,2/10/2014,2/10/2014,2014,Check For Leak/Break,1,67
P60417,L.J.,Distribution,1922,725411,1/9/2014,1/8/2014,1/8/2014,2014,Check For Leak/Break,1,97
P60417,L.J.,Distribution,1922,725241,1/8/2014,3/29/2015,3/29/2015,2014,Check For Leak/Break,1,97
P14371,L.J.,Transmission,1895,725163,1/7/2014,4/4/2015,4/4/2015,2014,Check For Leak/Break,1,124
P64427,L.J.,Distribution,1910,724301,12/27/2013,12/27/2013,12/27/2013,2013,Check For Leak/Break,1,109
P71407,L.J.,Distribution,1907,2081968,12/18/2017,12/18/2017,12/18/2017,2017,Check For Leak/Break,1,112
P30541,L.J.,Distribution,1926,2081348,12/18/2017,12/18/2017,12/19/2017,2017,Check For Leak/Break,1,93
P39479,L.J.,Distribution,1961,2076368,12/12/2017,12/13/2017,12/13/2017,2017,Check For Leak/Break,1,58
P111697,L.J.,Distribution,1927,2022908,10/23/2017,1/9/2018,1/9/2018,2017,Check For Leak/Break,1,92
P68308,L.J.,Distribution,1927,2022908,10/23/2017,1/9/2018,1/9/2018,2017,Check For Leak/Break,1,92
P79674,L.J.,Distribution,1924,1899334,7/7/2017,7/7/2017,7/7/2017,2017,Check For Leak/Break,1,95
P68181,L.J.,Distribution,1927,1883548,6/23/2017,6/24/2017,6/24/2017,2017,Check For Leak/Break,1,92
P33886,L.J.,Distribution,1908,1871274,6/9/2017,6/9/2017,6/10/2017,2017,Check For Leak/Break,1,111
P31677,L.J.,Distribution,2012,1831068,5/16/2017,5/16/2017,5/16/2017,2017,Check For Leak/Break,1,7
P29462,L.J.,Distribution,1948,1816108,5/7/2017,7/11/2017,7/11/2017,2017,Check For Leak/Break,1,71
P33158,L.J.,Transmission,1925,1791468,4/27/2017,,4/27/2017,2017,Check For Leak/Break,1,94
P32328,L.J.,Distribution,1908,1774188,4/25/2017,4/25/2017,4/26/2017,2017,Check For Leak/Break,1,111
P31684,L.J.,Distribution,2012,1714208,3/24/2017,3/24/2017,3/24/2017,2017,Check For Leak/Break,1,7
P12602,L.J.,Distribution,1912,1686708,3/6/2017,3/7/2017,3/7/2017,2017,Check For Leak/Break,1,107
P31684,L.J.,Distribution,2012,1636761,1/31/2017,2/23/2017,2/23/2017,2017,Check For Leak/Break,1,7
P5462,L.J.,Distribution,1897,1618773,1/12/2017,1/12/2017,1/12/2017,2017,Check For Leak/Break,1,122
P5469,L.J.,Distribution,1897,1618773,1/12/2017,1/12/2017,1/12/2017,2017,Check For Leak/Break,1,122
P5462,L.J.,Distribution,1897,1609788,1/4/2017,1/5/2017,1/5/2017,2017,Check For Leak/Break,1,122
P5469,L.J.,Distribution,1897,1609788,1/4/2017,1/5/2017,1/5/2017,2017,Check For Leak/Break,1,122
P68308,L.J.,Distribution,1927,1346765,10/29/2015,11/2/2015,11/2/2015,2015,Check For Leak/Break,1,92
P68308,L.J.,Distribution,1927,1346763,10/29/2015,10/29/2015,10/29/2015,2015,Check For Leak/Break,1,92
P64828,L.J.,Transmission,1920,1340120,10/15/2015,10/16/2015,10/16/2015,2015,Check For Leak/Break,1,99
P64824,L.J.,Transmission,1926,1340120,10/15/2015,10/16/2015,10/16/2015,2015,Check For Leak/Break,1,93
P60029,L.J.,Distribution,1913,1338433,10/10/2015,10/11/2015,10/11/2015,2015,Check For Leak/Break,1,106
P18404,L.J.,Distribution,1926,1312848,8/21/2015,8/21/2015,8/21/2015,2015,Check For Leak/Break,1,93
P3365,L.J.,Distribution,1899,1304175,8/9/2015,8/9/2015,8/9/2015,2015,Check For Leak/Break,1,120
P23799,L.J.,Distribution,1891,1273459,6/19/2015,6/19/2015,6/19/2015,2015,Check For Leak/Break,1,128
P105372,L.J.,Distribution,1942,1251888,5/17/2015,10/24/2015,10/24/2015,2015,Check For Leak/Break,1,77
P1131269,L.J.,Distribution,1929,1242411,5/4/2015,5/4/2015,5/4/2015,2015,Check For Leak/Break,1,90
P109399,L.J.,Distribution,1924,1223615,4/4/2015,4/4/2015,4/4/2015,2015,Check For Leak/Break,1,95
P52861,L.J.,Distribution,1924,1223615,4/4/2015,4/4/2015,4/4/2015,2015,Check For Leak/Break,1,95
